,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Local,Visita,Local,Visita,,,,,,Locaal,,Visita,,Promedio,,,,Indices,,,
1,50,Pumas UNAM,Monterrey,1,1,,,,,,,,,,,,,,,,,
1,51,Santos Laguna,Atlas,1,0,,,,,,,,,,,,,,,,,
1,52,León,Club América,3,2,,,,,,,,,,,,,,,,,
1,53,Toluca,Puebla,1,1,,,,,,,,,,,,,,,,,
1,54,Juárez,San Luis,1,1,,,,,,,,,,,,,,,,,
1,55,Atlas,Querétaro,3,1,,,,,,,,,,,,,,,,,
1,56,Mazatlán,Guadalajara,2,1,,,,,,,,,,,,,,,,,
1,57,Monterrey,León,5,1,,,,,,,,,,,,,,,,,
1,58,Santos Laguna,Cruz Azul,4,0,,,,,,,,,,,,,,,,,
1,59,Toluca,Club Tijuana,3,1,,,,,,,,,,,,,,,,,
1,60,San Luis,Necaxa,1,2,,,,,,,,,,,,,,,,,
1,61,Pachuca,Tigres UANL,2,0,,,,,,,,,,,,,,,,,
1,62,Club América,Juárez,2,1,,,,,,,,,,,,,,,,,
1,63,Querétaro,San Luis,1,1,,,,,,,,,,,,,,,,,
1,64,Necaxa,Monterrey,1,2,,,,,,,,,,,,,,,,,
1,65,Club Tijuana,Puebla,3,3,,,,,,,,,,,,,,,,,
1,66,León,Mazatlán,0,3,,,,,,,,,,,,,,,,,
1,67,Pumas UNAM,Club América,0,3,,,,,,,,,,,,,,,,,
1,68,Guadalajara,Atlas,1,1,,,,,,,,,,,,,,,,,
1,69,Juárez,Pachuca,2,1,,,,,,,,,,,,,,,,,
1,70,Cruz Azul,Toluca,2,3,,,,,,,,,,,,,,,,,
1,71,Tigres UANL,Santos Laguna,2,0,,,,,,,,,,,,,,,,,
1,72,Mazatlán,Querétaro,1,1,,,,,,,,,,,,,,,,,
1,73,Atlas,Juárez,0,1,,,,,,,,,,,,,,,,,
1,74,Puebla,Necaxa,2,2,,,,,,,,,,,,,,,,,
1,75,Toluca,Monterrey,1,1,,,,,,,,,,,,,,,,,
1,76,Cruz Azul,Club Tijuana,1,2,,,,,,,,,,,,,,,,,
1,77,Pachuca,Club América,0,3,,,,,,,,,,,,,,,,,
1,78,Santos Laguna,León,2,1,,,,,,,,,,,,,,,,,
1,79,San Luis,Pumas UNAM,3,2,,,,,,,,,,,,,,,,,
1,80,Necaxa,Guadalajara,0,4,,,,,,,,,,,,,,,,,
1,81,Querétaro,Club Tijuana,2,0,,,,,,,,,,,,,,,,,
1,82,Monterrey,Tigres UANL,0,0,,,,,,,,,,,,,,,,,
1,83,Atlas,Puebla,1,1,,,,,,,,,,,,,,,,,
1,84,Club América,Cruz Azul,7,0,,,,,,,,,,,,,,,,,
1,85,Juárez,Mazatlán,1,1,,,,,,,,,,,,,,,,,
1,86,Pumas UNAM,Santos Laguna,1,5,,,,,,,,,,,,,,,,,
1,87,San Luis,Toluca,1,0,,,,,,,,,,,,,,,,,
1,88,Pachuca,León,1,0,,,,,,,,,,,,,,,,,
1,89,Guadalajara,Monterrey,1,0,,,,,,,,,,,,,,,,,
1,90,Querétaro,Club América,0,1,,,,,,,,,,,,,,,,,
1,91,Pumas UNAM,Tigres UANL,1,1,,,,,,,,,,,,,,,,,
1,92,Pachuca,Atlas,3,1,,,,,,,,,,,,,,,,,
1,93,Club Tijuana,Santos Laguna,0,2,,,,,,,,,,,,,,,,,
1,94,Puebla,Juárez,2,2,,,,,,,,,,,,,,,,,
1,95,Mazatlán,Club América,1,3,,,,,,,,,,,,,,,,,
1,96,Cruz Azul,Querétaro,2,1,,,,,,,,,,,,,,,,,
1,97,Tigres UANL,Necaxa,0,0,,,,,,,,,,,,,,,,,
