,Local,,,,,,,,,,,,,,,,,,,,,
,Visita,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Locaal,,Visita,,Promedio,,,,Indices,,,
,,,,,,,,#Partido,GF,GC,Goles Favor,Goles Contra,Goles Favor,Goles Contra,GFL,GCL,GFV,GCV,IAL,IDL,IAV,IDV
39,12 de Febrero,Cruz Azul,Necaxa,1,2,,,,,,,,,,,,,,,,,
40,12 de Febrero,Santos Laguna,Club América,2,3,,,,,,,,,,,,,,,,,
41,13 de Febrero,Pumas UNAM,León,2,1,,,,,,,,,,,,,,,,,
42,14 de Febrero,Pachuca,Querétaro,2,2,,,,,,,,,,,,,,,,,
43,18 de Febrero,Puebla,Monterrey,1,0,,,,,,,,,,,,,,,,,
44,18 de Febrero,Juárez,Santos Laguna,0,0,,,,,,,,,,,,,,,,,
45,18 de Febrero,Club Tijuana,Necaxa,1,1,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,
